No,Season,Name,Age,Nat.,Position,Market value,From,To,Fee,Type,,
211,21/22 Summer,Ben Davies,26,England,Centre-Back,3500000,Liverpool FC,Sheffield United,0,Loan,,
212,21/22 Summer,Ben Woodburn,21,Wales,Attacking Midfield,1000000,Liverpool FC,Heart of Midlothian FC,0,Loan,,
213,21/22 Summer,Rhys Williams,20,England,Centre-Back,2000000,Liverpool FC,Swansea City,0,Loan,,
214,21/22 Summer,Sheyi Ojo,24,England,Right Winger,1800000,Liverpool FC,Millwall FC,0,Loan,,
215,21/22 Summer,Ozan Kabak,21,Turkey,Centre-Back,13000000,Liverpool FC,FC Schalke 04,0,End of loan,,
216,21/22 Summer,Jack Grealish,25,England,Left Winger,75000000,Aston Villa,Manchester City,117500000,Transfer,,
217,21/22 Summer,Scott Carson,35,England,Goalkeeper,200000,Derby County,Manchester City,0,Free transfer,,
218,21/22 Summer,Cole Palmer,19,England,Attacking Midfield,32000000,Manchester City U23,Manchester City,-,Graduated,,
219,21/22 Summer,Angeliño,24,Spain,Left-Back,11000000,Manchester City,RB Leipzig,18000000,Transfer,,
220,21/22 Summer,Jack Harrison,24,England,Left Winger,22000000,Manchester City,Leeds United,12800000,Transfer,,
221,21/22 Summer,Lukas Nmecha,22,Germany,Centre-Forward,12000000,Manchester City,VfL Wolfsburg,8000000,Transfer,,
222,21/22 Summer,Sergio Agüero,33,Argentina,Centre-Forward,-,Manchester City,FC Barcelona,0,Free transfer,,
223,21/22 Summer,Eric García,20,Spain,Centre-Back,12000000,Manchester City,FC Barcelona,0,Free transfer,,
224,21/22 Summer,Arijanet Muric,22,Kosovo,Goalkeeper,9000000,Manchester City,Adana Demirspor,0,Loan,,
